[2024-11-12 08:24:26] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/jello.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/jello.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/pulse.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/pulse.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/shake.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/shake.min.css
[2024-11-12 08:24:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/automospeed/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.css
